text,start,end
" What are we, a bunch of guinea pigs?",445.12,446.32
" Something wrong, Mr. Burkhardt?",447.04,448.66
 Wrong?,448.72,449.08
" Perish the thought, Miss Horne.",450.16,451.48
 Perish the thought.,451.48,452.56
 He went to his desk and stared at the mail.,460.31,462.83
" Before he opened it, he knew that the factory distributor's envelope contained an order for 12 new electronic computers.",463.51,470.31
 He knew that the development journal contained an article about a new method of transprinting selective brain circuits of human engineers onto the electric brain circuits of robot engineers to facilitate the operation of automatic factories.,471.35,485.65
 He knew that there was a complaint from Feinbeck and Sons about the Controchemicals' newest household robot circuit.,486.51,492.47
" After a long while, he forced himself to open them.",494.06,498.22
 They were exactly as he suspected.,499.37,501.51
 Hello?,505.08,505.42
 What is it?,508.9,509.62
 Remember what?,510.97,511.75
 Just remember.,512.03,512.47
" All right, now listen, Henry.",513.66,514.29
 Let's stop playing games.,514.29,515.32
" Yesterday, either I was dreaming or you stubbed me on the bus.",516.18,518.78
" Today, the same thing happened.",518.84,519.92
 What is it you want?,524.97,525.87
 Who may be watching?,534.98,535.72
 Swanson!,537.42,537.7
 Hello!,538.95,539.35
 You buzzed Mr. Bearcar?,546.96,548.22
" Yes, I'm still out of cigarettes, sir.",548.44,549.98
 Would you buy me a pack of Kelvins?,550.3,551.46
 Wouldn't you rather have Marlins?,551.9,553.22
 I smoke Kelvins.,554.18,555.22
" But, Mr. Burkhardt, Marlins have that soft, creamy smoke",555.64,559.54
 that's so soothing to your throat.,559.56,561.14
" Oh, do you really believe that stuff?",561.28,563.54
" Well, it's true.",563.82,564.36
" I wouldn't say this, Mr. Burkhardt, except that,",565.36,567.9
" well, I've gotten to know you pretty well,",568.96,570.58
 and I've grown to admire you so much.,570.58,574.58
 I see.,575.72,576.04
" Would you mind, Mr. Burkhardt,",576.32,578.4
" if I told you that for months now I've wanted to,",578.4,580.9
" well, comfort you?",581.82,583.82
 I know how troubled you've been.,584.57,586.39
" Well, you've never mentioned your feelings before, Miss Horne.",587.61,591.47
 April.,591.87,592.01
 My first name's April.,593.37,595.17
" Oh, that's a pretty name.",596.81,597.63
" You see, I do have your welfare at heart.",598.09,600.41
 That's why when I see you smoking Kelvins,600.79,603.68
" and I know Marlins are so much better,",603.68,605.41
" Won't you let me buy some of them for you, huh?",606.09,608.75
 Suppose so.,612.13,612.77
 Why not?,613.57,613.93
" Here, bring me a carton.",614.87,615.77
" Oh, thank you, Mr. Bickle.",616.07,618.41
 Guy.,619.47,619.81
" I, uh, I think you ought to go.",621.96,624.28
 I'll be back.,625.1,625.7
 There was something wrong.,633.14,634.48
 Something definitely peculiar about what was happening.,635.56,638.44
 The call from Henry Swanson.,639.16,640.36
" The strange behavior of his secretary, Miss Horn.",641.2,643.7
" These new products, the dream.",644.34,645.86
 Guy Burkhart went home that night feeling like a man in a nightmare.,647.42,651.98
" Is that you, dear?",653.97,654.53
 It's me.,655.43,656.03
 Did you have a good day?,656.67,657.29
 Fair.,657.89,658.07
" Oh, before you sit down, will you go down in the cellar and put in a new fuse?",658.87,662.17
 The switch in the hall closet blew out.,662.67,664.19
 I shut it off.,664.19,665.25
 Okay.,665.77,666.01
" Supper will be ready in a minute, so don't start fooling around with that old boat hull you've been building.",666.57,670.47
 I won't.,670.47,671.09
 Mary!,688.85,689.01
 Come down here.,691.35,691.85
 Hurry up.,691.85,692.21
 What is it?,694.91,695.57
 I don't know. I'm not sure.,696.17,696.91
" I was looking for a fuse, and I thought maybe I'd drop one under the boathouse,",698.03,701.09
 so I scratched around.,701.09,701.91
 Look. Let me put the flashlight on it.,702.81,704.71
 Well?,705.95,706.25
 Look at the floor.,707.22,707.84
 What about the floor?,708.48,709.75
 It's supposed to be cement.,710.41,711.31
 Well?,712.21,712.51
" Well, it's copper.",713.01,713.51
" There's a thin layer of cement, but underneath it's metal.",714.51,716.47
 Look here.,717.69,718.09
" Underneath the concrete, more metal.",722.41,724.37
 And here on the wall.,725.19,725.91
 You see? Metal.,728.96,729.52
" A little under the floor, behind the walls, every place.",730.28,732.2
" Well, I don't really understand.",732.54,733.92
" Mary, I know this sounds crazy, but somebody, for reasons I can't even begin to guess,",734.0,737.77
 has taken this house and replaced it with a clever imitation.,737.77,740.1
 Guy!,740.56,740.72
" Mary, I'm going to look around a little more.",741.3,742.48
" Well, your dinner will be ready in a minute.",742.74,743.76
" All right, save it for me.",743.76,744.48
 There are a couple of things I've got to figure out.,745.44,747.04
" The following morning, Guy Burkhardt woke up screaming.",754.77,759.06
" He dragged himself into the kitchen where his wife, Mary, was preparing breakfast",760.22,763.88
 and discovered it was still June 15th.,764.04,767.32
" Mary, where's the morning paper? Where is it?",769.22,770.94
" It's outside the door, I guess.",771.1,772.4
 June 15th.,777.95,778.71
" You'd better hurry, dear.",778.93,779.67
 Today's the day Mr. Barth fills out the quarterly tax return.,779.75,782.29
" Oh, no, it isn't.",782.51,783.45
 Why?,783.77,783.91
 He won't be there.,783.91,784.87
 He'll get a meeting with that crackpot Dorchin,785.65,787.48
 at the Human Research Institute.,787.48,788.71
 Mr. Dorchin?,789.01,789.63
 He'll be there.,789.77,790.27
 And Miss Horne will have a new hairdo,790.97,792.49
 and the elevator will be selling some new product,792.49,794.16
 and Swanson...,794.16,794.89
 What about Swanson?,794.89,796.55
" Swanson, he said...",797.76,798.68
" I wonder if it's going to be the same today, or whether...",800.49,802.67
" Guy, what in the world are you talking about?",802.87,804.65
" Nothing, never mind. Where's my coat?",806.48,807.72
 You haven't had any breakfast yet.,807.84,808.65
 I don't want to miss my bus. I'll see you tonight.,808.65,810.4
 Guy Burkhart got on his bus.,813.63,815.59
" There were the same unfamiliar faces,",816.25,818.01
" the same unusually new-looking buildings,",818.09,820.59
 the same unusually bright sunshine.,820.63,822.69
" And on the customary corner,",823.53,825.19
" Henry Swanson, pale and furtive, climbed aboard.",826.03,828.91
" Excuse me, sir.",832.87,833.71
 It's quite all right.,834.29,834.79
 Do you remember the phone call?,835.79,836.73
 Yes.,837.41,837.65
" Oh, thank heaven.",837.99,838.59
 Get off at the next corner and follow me.,839.03,840.65
 Where are you going?,841.03,841.57
 There's an excavation for a building about a block down.,842.15,844.43
 Make sure you aren't followed.,845.43,846.51
 I'll go first.,847.11,847.61
 Burkhart.,858.85,859.41
" Here, behind the fence.",860.66,861.68
" All right, now, Henry, what's this all about?",863.66,865.44
 I'm not sure.,865.74,866.4
 At first I thought perhaps they were Russians.,867.64,869.1
 Now I'm beginning to think they're Martians.,870.02,871.72
 No humans could have accomplished what they've accomplished.,872.54,874.64
" Now, wait a minute.",874.9,875.66
" Let's start from the beginning, Henry.",875.7,876.65
 What's going on?,876.65,877.64
" Look, Burkhart, peculiar things have been happening to you, right?",878.16,881.46
 Yes.,882.52,882.72
 A lot of your friends are missing.,883.44,884.7
 Your house seems changed.,884.8,885.98
 There's something stranger than that.,886.5,888.02
 The date.,888.74,889.12
 Today is June 15th.,889.98,891.08
 Yet I could swear yesterday was June 15th and the day before that.,891.56,894.2
" You got it, friend.",894.42,895.2
 It's always June 15th.,895.82,897.42
 And you and I are the only ones who know it.,898.06,899.96
" But why, Henry?",900.82,901.3
 How?,901.3,901.8
 I'm not sure.,902.64,903.26
 I think it's some sort of mass hypnosis or something.,903.34,907.28
" Well, why doesn't it work for us?",907.54,908.62
" My wife, Mary, doesn't remember a thing.",909.46,910.76
" Somehow, when it happened, they missed us.",911.28,913.44
 We were protected from the full force of the rays,914.24,916.73
 or whatever they used.,916.73,918.08
" Burkhart, where were you on the night of the 14th,",919.87,922.15
 about midnight?,922.15,922.73
 Let me see. That was Sunday night.,923.95,925.01
 Yes.,925.19,925.31
" Yeah, I was down in the cellar under the boat I'm building.",926.67,929.13
 I was in my darkroom developing some pictures.,929.79,931.99
 This just doesn't make any sense to me,933.42,935.01
" Russians, Martians",935.01,936.37
 What makes you think that?,936.37,937.36
 I've seen them,938.36,939.02
 Where?,940.24,940.4
 At the end of the tunnel,941.08,941.88
 What tunnel?,942.28,942.66
 The one they built under Tylertown,942.98,944.6
 A tunnel under Tylertown?,945.48,946.82
" Yes, that's right",946.84,947.65
 It's made out of copper or some alloy,947.65,950.26
 Copper? Wait a minute,951.16,951.98
 I found a copper layer under my cellar floor last night,952.9,955.05
 So did I,955.05,955.73
 That's how I discovered it,955.73,957.22
" I found a way to get in, too",958.16,959.31
 It's at the bottom of this excavation,959.31,961.48
 Holy mackerel.,962.4,963.32
" Henry, why don't we tell the police?",964.09,965.27
 Because we can't trust them.,965.53,966.89
 Even the police may be Martians in disguise.,967.39,969.23
" Oh, come on. Are you being melodramatic?",969.41,970.57
" Oh, am I?",970.77,971.19
" Well, you just come with me.",971.91,972.79
 Where?,973.05,973.15
 Into the tunnel. I'll show you.,973.57,974.91
 Henry Swanson led Guy Burkhart to a small hole on the side of the excavation.,981.94,985.64
 There he removed a cut-out piece of metallic substance,986.26,988.65
 and they crawled into a dimly lighted tunnel.,988.65,990.78
 They walked for what seemed like two miles,991.38,993.31
 until Swanson held his finger to his lips.,993.31,995.98
 We've got to be quiet now.,996.5,999.14
" Henry, this is fantastic.",999.94,1001.0
 They've got a tunnel right under the whole town.,1002.0,1003.52
" Oh, you haven't seen anything yet.",1003.9,1005.26
 There's a room a little farther down.,1006.56,1008.08
 We'll be able to look through a glass in the door.,1008.64,1010.48
 Is it safe?,1010.48,1011.42
" It's perfectly safe, unless one of them comes along.",1012.46,1015.0
 Come on.,1016.3,1016.66
 Okay.,1016.92,1017.08
 Here.,1021.73,1021.91
" Burkhardt, look through this glass.",1024.18,1025.66
" Now, just so I know I'm not completely insane,",1027.45,1029.39
 tell me what you see.,1030.43,1031.29
 Good Lord.,1032.87,1033.77
" Well, a tremendous panel with dozens of telescreens.",1034.41,1038.76
 And in front of each of them is a servo robot.,1040.0,1041.68
 They seem to be computing something.,1043.51,1044.67
" Yes, I've watched.",1045.43,1045.99
 They're evaluating data from the screens.,1047.18,1049.4
 Have you gotten a chance to look at the data on those screens?,1050.42,1052.14
 No.,1053.12,1053.38
 I've been afraid to go in.,1054.82,1056.02
 There might be a warning circuit somewhere.,1056.84,1058.52
" Well, if we knew what those robots were working on,",1059.42,1061.41
 we could go to the authorities.,1061.41,1062.34
 I'll risk it if you will.,1064.64,1065.76
" All right, it's worth a chance.",1067.22,1068.08
 We're lost anyway.,1068.74,1069.36
 Okay.,1070.51,1070.77
 Open the door.,1071.75,1072.31
" So far, so good.",1079.75,1080.63
 Come on.,1081.27,1081.53
 Let's take a look at that data.,1082.5,1083.6
 But don't interfere with the robots.,1084.14,1085.32
 Don't worry.,1085.4,1085.92
" Here, let's look at this screen.",1087.43,1088.31
 Listen to this.,1090.69,1091.29
 Tests in the 47K12 group with Marlon cigarettes,1092.96,1096.84
 pulled 80% using the soft feminine approach.,1096.9,1099.46
 Indications are that an extension of this approach,1100.2,1102.34
 would influence at least 70% nationwide.,1102.48,1105.02
 The direct elevator pitch pulled only 10%.,1106.36,1108.52
" This should be abandoned,",1109.26,1110.0
 and a new series of high-persuasion personal elements introduced.,1110.14,1113.66
" Henry, do you know what this means?",1114.92,1115.8
 I haven't the faintest idea.,1116.62,1117.9
 I don't blame you.,1118.4,1119.0
" This is crazy, but it fits the facts when I think about it.",1120.0,1122.12
 Do you know who's behind this?,1122.96,1124.28
 Martians?,1125.34,1125.75
" No, not Martians, Henry. Humans.",1125.75,1127.4
 What?,1127.4,1127.98
 Humans who are interested in developing the perfect propaganda machine.,1128.86,1131.72
 What?,1132.08,1132.28
" I don't know who they are or how they've done it,",1132.5,1134.98
 but somehow they've taken Tyler Town over.,1135.08,1137.78
 Hypnosis.,1138.8,1139.22
" Hypnosis, drugs, maybe some kind of array or something.",1139.44,1141.82
" However they do it,",1141.92,1142.5
 what happens is that they let us live through a single day.,1143.3,1145.24
" During that day, they pour all kinds of suggestions",1145.94,1147.92
 and propaganda into us.,1148.02,1149.12
" At the end of the day, they evaluate the results,",1149.86,1151.68
 see how we've reacted.,1152.6,1153.42
" And at midnight, they wash the day out of our minds,",1154.06,1156.7
" and the next morning, we start the same day over again",1156.7,1158.63
 with different stimuli.,1158.63,1159.36
" Do you know what that means, Henry?",1159.56,1160.52
" Henry, suppose one man learned how to influence people 100%.",1161.64,1164.7
" Why, in a year, he could sell us anything from freezers to political candidates.",1165.78,1169.1
 Wait a minute.,1169.34,1169.96
" We're guinea pigs, Henry.",1170.18,1171.06
 This whole community is one big test tube for Dorchen's propaganda research.,1172.0,1175.58
" Burkhardt, what do we do?",1176.28,1177.14
" I don't know, but somehow we've got to get out of this town and get to the FBI.",1177.5,1179.56
" Oh, do you think we can?",1179.76,1180.44
 It's worth a try. Come on.,1180.62,1181.58
 Wait.,1182.36,1182.64
 What is it?,1182.94,1183.5
 Look through the door.,1184.54,1185.22
 There's somebody coming down the tunnel.,1186.26,1187.3
 We've got to hide.,1187.68,1188.18
 Behind the circuit box.,1188.7,1189.44
" Shh. Good Lord, it's Dorjan, the head of the Research Institute.",1189.62,1195.76
" Shh, quiet.",1196.38,1196.7
" All right, Burkhardt, come out.",1203.82,1205.8
 We know you're in this room.,1207.72,1208.94
 Miss Horne has informed us that you remember.,1210.76,1213.08
 I must warn you that it's useless to buck us.,1215.56,1218.34
 Come out peacefully.,1219.14,1220.04
 Let our maintenance crew adjust you properly,1221.06,1223.03
 so you don't remember from one experiment to the next.,1223.03,1226.38
 It will be quite painless.,1227.38,1228.42
" If you don't come out peacefully, we'll have to get you.",1230.3,1233.54
" Henry, take this wrench.",1234.04,1235.62
" When I give the word, jump in.",1236.26,1237.49
 But he may be armed.,1237.49,1238.36
 We've got nothing to lose.,1238.36,1239.5
 Very well.,1240.97,1241.59
 I'm coming after you.,1242.62,1243.86
" Burkhart, I've killed him.",1251.7,1253.04
 Now wait.,1253.14,1253.36
 Get his coat unbuttoned.,1254.02,1254.84
 Maybe his heart is still beating.,1255.3,1256.3
 Henry!,1259.02,1259.46
 What is it?,1260.08,1260.46
 What's wrong?,1260.46,1260.84
 Look underneath his coat.,1261.28,1262.12
 Heaven help us.,1264.17,1265.07
 It's a robot.,1265.39,1265.81
 A humanoid robot.,1266.71,1267.61
 Designed to look like Dorchin.,1268.21,1269.37
" Come on, let's get out of here.",1269.65,1270.53
 Wait.,1270.75,1270.97
 What's that?,1271.67,1271.97
 The loudspeaker.,1272.35,1272.87
" I told you it was useless, gentlemen.",1273.21,1274.99
 Who are you?,1276.35,1276.79
" Mr. Dorchin, naturally.",1277.31,1278.55
 The real Mr. Dorchin.,1279.62,1281.38
 What are you trying to do to us?,1282.12,1283.18
" Merely trying to prevent you from damaging my experiment, gentlemen.",1283.7,1286.86
" You can't get away with this, Dorchin.",1287.62,1288.86
" Sooner or later, somebody, the FBI or somebody, is going to get wind of this madness.",1289.72,1293.0
" Really, Burkhart, you're quite naive.",1293.3,1295.4
" Now, why not be reasonable and let the maintenance crews adjust you?",1295.54,1300.08
" And if I refuse, I suppose you'll kill me",1300.78,1303.24
 That would be quite impossible,1303.76,1304.98
 Oh?,1306.26,1306.46
" You see, Burkhardt, you're already dead",1307.38,1310.12
 Dead?,1311.94,1312.08
 You're shocked,1313.02,1313.56
 It's quite true,1313.7,1315.3
 You and everyone else in this town,1316.56,1318.27
 were killed by a premature atomic blast at the Contro Chemical Plant,1318.27,1322.49
 The blast occurred at 7 a.m. on June 15th,1322.49,1326.24
 That is the last thing imprinted on your minds.,1326.82,1329.06
 That is why you wake up screaming each morning.,1329.92,1331.74
" No, it isn't true.",1332.12,1332.76
 But it is.,1332.94,1333.46
 What I and my associates did was take the brain circuits from your dead bodies.,1334.38,1338.22
 We stored them in electrochemical batteries,1338.9,1340.7
 till we had a chance to rebuild the cities and begin our tests.,1341.5,1344.18
 Do you think I believe a fantastic tale like that?,1345.2,1347.32
 I imagine you find it incredible.,1347.72,1349.18
" Of course, we didn't rebuild everything exactly.",1350.22,1352.16
" After all, it only has to last for a single day.",1353.2,1355.56
 June 15th.,1355.7,1356.74
" At midnight, we turn off the power",1357.68,1359.18
 and wash out the memory of the day.,1359.18,1360.64
" You and your friend Swanson, unfortunately,",1361.68,1363.5
 have defective circuits.,1364.58,1365.62
 You remember.,1365.86,1366.56
" Burkhart, it's no use.",1367.28,1368.08
 We're trapped. Give up.,1368.1,1369.0
" No, not me.",1369.1,1369.56
 What can we do?,1369.86,1370.62
 We can make a run for it down the tunnel.,1370.76,1371.86
 Come on.,1371.86,1372.22
" It's useless, Burkhart.",1372.5,1374.14
 Keep going.,1374.34,1374.64
 It's useless.,1374.96,1375.58
 Useless.,1376.34,1377.0
 Useless.,1377.52,1378.1
" Now, this door is open.",1392.92,1394.82
 It opens.,1396.41,1397.17
" Oh, no",1398.94,1399.79
" No, I don't believe it",1402.47,1403.33
" Swanson, look",1404.58,1405.3
" They were standing on a ledge of smooth, finished metal",1411.56,1414.68
" At their feet, the ledge dropped away into a chasm so deep",1415.54,1419.63
 They could not see the bottom,1419.63,1421.1
 Beyond was only a glare so bright,1422.12,1424.48
 That their eyes could not stand to look into it,1424.48,1427.64
" And yet, just at the limit of their vision",1428.24,1431.89
 Something towered.,1432.67,1434.47
 Something so huge it was almost inconceivable.,1435.05,1438.15
 Something.,1439.38,1439.82
 Yes?,1442.88,1443.26
 This is Dorchen.,1444.14,1445.02
 Now do you understand why it's useless?,1446.2,1448.04
 The great looming figure moved closer.,1449.99,1452.41
 It seemed to take shape now.,1453.47,1455.02
 And yet it was so gigantic as to be unbelievable.,1455.02,1458.63
 It came closer.,1459.99,1460.67
 The glare was partially blocked.,1461.55,1463.25
" And then, Guy Burkhardt knew that the towering shape was none other than Dorchin himself.",1463.39,1471.02
" You see how I did it, Burkhardt? I took your brain circuits and had them reduced so they could be transferred to tiny humanoid mannequins.",1472.34,1483.32
" That's what you are, Burkhardt, a tiny miniature of yourself.",1483.99,1487.63
" and this city, this whole experiment I'm conducting,",1488.89,1492.05
 is built on a tabletop.,1493.01,1494.95
" It was the morning of June 15,",1509.35,1511.21
" and Guy Burkhardt woke up out of a dream,",1512.54,1515.76
 screaming.,1517.1,1517.7
