text,start,end
Aren't you supposed to do that with a pocket clock?,293.657,295.54
Martin asked doubtfully.,296.321,297.302
"Put your faith in Andre, and everything will be just fine.",297.342,303.21
 Martin took a deep breath and tried not to laugh.,303.494,306.383
 The next thing Martin remembered was slowly awakening and feeling like he could certainly use a good physio session.,307.544,313.372
"When Martin exited Andre's clinic an hour later, he felt happier than he felt for years.",313.992,318.638
It was like a blessing.,319.7,320.581
"Martin's neck was relaxed, plus he felt rising optimism in his soul.",321.402,325.407
"As he walked down the street, Martin noticed a woman that appeared exactly like Sophia, though after a second, he understood that he was fantasizing.",326.308,335.34
" Feeling good, he stopped to purchase a Kit Kat and continued walking home unburdened.",335.641,341.209
"As days went by, Martin noticed that he was thinking about Sophia less and less.",342.552,346.978
He really felt prepared to see Sophia.,347.419,349.282
Martin called Sophia's cell and finally convinced her to come with him to the pub the next day.,350.984,355.692
"When Martin arrived at the pub, Sophia was staring at the clock.",355.732,359.978
" How are you doing, Sophia?",361.055,362.196
"he inquired, without losing control over his voice this once.",362.236,365.86
I could be worse.,367.322,368.143
How are you these days?,368.623,369.645
"Feeling better, he replied, actually believing that the response he made was true.",370.746,374.91
I have to go to the bathroom.,376.032,377.173
Do you need anything?,377.774,378.574
Sophia inquired quietly.,379.215,380.477
"No, I'm fine.",380.517,382.018
"I was just eager to discuss our former relationship, Martin replied.",382.098,385.122
"By the way, do you have a Kit Kat on you by any chance?",385.162,388.986
 What?,389.692,389.993
"No, Sophia answered, looking at Martin sympathetically.",390.674,393.919
Martin felt like a new person.,394.7,396.043
That's okay.,397.085,397.645
"I'll be back in a jiffy, Martin said while he jumped to find a nearby kiosk.",397.826,402.434
"On the way to their table, while munching what was left of the Kit Kat, Martin laughed at himself.",402.454,407.502
Why didn't I go to Andre the Giant sooner?,408.023,410.187
I must never admit this to Mom.,410.227,413.893
" Martin pushed his stool with large, foolish grin on his lips.",414.059,416.988
"I have to visit Andre about my new size problem as soon as possible, Martin thought, while he began to pat his rapidly growing stomach.",417.249,424.39
